date,temp_mean,temp_max,temp_min,precip,et0,humidity_mean,soil_moisture_0_7,soil_moisture_7_28,daylight_hours
2024-06-01,13.55,19.75,9.75,0.0,4.3808885,79.764626,0.14216669,0.19862497,14.36414
2024-06-02,13.458332,19.2,8.7,0.0,4.1877007,82.889915,0.14083336,0.19708335,14.378353
2024-06-03,15.133335,22.15,9.95,0.0,4.3299975,84.52829,0.14112498,0.19554168,14.391904
2024-06-04,21.372917,33.4,11.75,0.0,6.273268,61.406326,0.13583331,0.19399999,14.404779
2024-06-05,18.862497,25.35,13.0,0.0,4.85616,74.1086,0.13416667,0.19204164,14.416967
2024-06-06,17.289583,24.15,13.5,0.0,4.214054,83.99979,0.14641666,0.19087501,14.428456
2024-06-07,16.65,22.5,12.4,0.0,4.239563,84.40003,0.147,0.18958332,14.439234
2024-06-08,14.929169,20.35,10.85,0.1,3.7226772,82.038124,0.13904169,0.1885,14.449286
2024-06-09,14.225001,20.5,9.45,0.0,4.6017237,78.51244,0.13991667,0.18870832,14.458604
2024-06-10,14.208333,21.5,9.4,0.0,4.3545995,81.25512,0.13716665,0.18712501,14.467175
2024-06-11,16.341667,24.35,10.1,0.0,4.5305853,78.57443,0.13883336,0.1860417,14.474986
2024-06-12,17.116667,24.2,12.8,0.0,4.406383,81.00016,0.13595836,0.18462498,14.48203
2024-06-13,16.179165,22.15,11.3,0.0,4.109088,82.0949,0.13329166,0.18362503,14.488292
2024-06-14,15.895835,23.85,9.6,0.0,5.1482677,73.01591,0.13670833,0.18287502,14.493764
2024-06-15,17.106253,27.05,9.35,0.0,5.8895216,62.1248,0.13062498,0.18154164,14.498435
2024-06-16,15.947915,24.55,9.0,0.0,5.454033,68.00527,0.12466664,0.18050002,14.502296
2024-06-17,16.677082,22.95,10.65,0.0,5.353448,62.77374,0.12225002,0.17941664,14.505334
2024-06-18,18.241667,26.95,10.7,0.0,6.336789,47.376225,0.12174999,0.17804168,14.507544
2024-06-19,14.389584,22.35,7.8,0.0,5.096376,70.224304,0.118375026,0.17720835,14.508913
2024-06-20,12.95625,19.95,7.75,0.0,4.5071135,78.5543,0.11800002,0.1764584,14.509436
2024-06-21,13.633334,21.1,7.9,0.0,4.3902216,79.197296,0.11783337,0.17554165,14.509099
2024-06-22,19.189585,28.55,9.7,0.0,5.6371007,66.25451,0.12133334,0.17499997,14.507901
2024-06-23,22.260414,30.85,12.9,0.0,5.3723874,55.823353,0.128375,0.17358337,14.505854
2024-06-24,21.254166,30.3,14.7,0.1,5.4420934,53.167774,0.12825002,0.17262499,14.502963
2024-06-25,20.074999,27.3,13.35,0.0,5.590388,58.216724,0.13575,0.17175,14.499244
2024-06-26,16.70625,23.0,11.6,0.0,4.923388,70.40145,0.14237499,0.171,14.494706
2024-06-27,15.477084,22.65,10.15,0.0,4.956454,76.40344,0.14895833,0.17175,14.489363
2024-06-28,14.431249,21.15,9.1,0.0,4.5743437,80.58137,0.15550001,0.171,14.483224
2024-06-29,16.191668,25.15,10.4,0.0,4.918992,79.75588,0.15654163,0.171,14.476305
2024-06-30,18.158335,28.2,10.65,0.0,5.5492034,71.496666,0.15179165,0.17037503,14.468615
2024-07-01,16.322916,25.75,10.55,0.0,4.8226037,79.17663,0.15933332,0.1695833,14.460169
2024-07-02,19.170832,27.25,11.85,0.0,5.4633193,73.356575,0.16591667,0.16804169,14.45098
2024-07-03,20.747915,28.95,13.0,0.0,5.5031033,72.91059,0.151125,0.16745836,14.441061
2024-07-04,18.812502,26.1,13.0,0.0,5.202598,73.08848,0.14008334,0.16666664,14.430425
2024-07-05,20.347916,31.95,11.65,0.0,6.062108,61.641376,0.13095835,0.16645832,14.419086
2024-07-06,22.422918,33.25,13.4,0.0,6.215417,58.104458,0.12820832,0.16549999,14.407058
2024-07-07,18.85,27.95,12.3,0.0,5.2989273,74.20183,0.12437496,0.164625,14.394355
2024-07-08,17.595833,27.5,11.1,0.0,5.201826,72.805565,0.121125005,0.16400002,14.38099
2024-07-09,17.533333,27.2,10.55,0.0,5.360016,70.590866,0.117666714,0.16354172,14.366978
2024-07-10,17.374998,26.15,10.5,0.0,5.002943,74.15316,0.11700002,0.16300005,14.352331
2024-07-11,20.189583,29.95,11.5,0.0,5.736679,64.867035,0.11649997,0.16249998,14.337
2024-07-12,18.627083,26.0,11.85,0.0,4.880062,69.31048,0.11599996,0.16199996,14.320865
2024-07-13,17.670834,26.0,11.2,0.0,4.6075387,76.61807,0.11599996,0.16154166,14.30395
2024-07-14,17.518751,24.15,13.05,0.0,4.651938,80.74908,0.11599996,0.161,14.286285
2024-07-15,16.352083,22.25,12.45,0.0,4.505346,78.23251,0.11649998,0.161,14.267899
2024-07-16,15.652085,21.5,11.25,0.0,4.5549073,78.62383,0.11649996,0.16045837,14.248817
2024-07-17,15.731251,25.5,9.35,0.0,4.459873,75.24165,0.11599996,0.16000003,14.229072
2024-07-18,17.1,27.25,10.05,0.0,4.9707427,74.13219,0.11587497,0.16000003,14.208692
2024-07-19,18.352083,28.3,10.6,0.0,5.0978065,69.64525,0.11562499,0.15924998,14.187702
2024-07-20,16.604166,25.05,11.1,0.0,4.8708925,76.390816,0.11583332,0.15899996,14.166132
2024-07-21,15.8875,23.8,10.55,0.0,4.5757265,78.839775,0.11529166,0.15874998,14.14401
2024-07-22,18.310415,27.25,12.0,0.0,5.04118,71.582954,0.11529166,0.158,14.121363
2024-07-23,21.816668,32.0,13.4,0.0,5.7038717,60.55412,0.115,0.158,14.098217
2024-07-24,22.183332,30.5,15.75,0.0,5.6993055,58.29114,0.115,0.15770836,14.074599
2024-07-25,20.489584,27.7,14.05,0.0,5.460214,62.476826,0.123374976,0.15700005,14.050536
2024-07-26,18.243748,27.3,12.0,0.0,5.340308,70.312294,0.1175,0.15700005,14.026054
2024-07-27,15.162499,21.65,11.05,0.0,4.5137143,78.78561,0.11058331,0.15700005,14.001179
2024-07-28,15.1500025,21.2,11.4,0.0,4.325079,79.897285,0.11166666,0.15654163,13.975935
2024-07-29,15.764585,23.15,10.7,0.0,4.664932,78.20523,0.112874985,0.15599996,13.950348
2024-07-30,16.652079,25.4,10.75,0.0,4.5801954,77.41541,0.11520832,0.15599996,13.92444
2024-07-31,16.475,24.85,11.7,0.0,4.2205105,79.55718,0.11391667,0.15599996,13.898138
2024-08-01,16.641668,25.65,10.3,0.0,4.380836,75.69553,0.11225002,0.15599996,13.871258
2024-08-02,18.231249,27.85,11.35,0.0,4.597061,70.35688,0.113000005,0.15558332,13.8438225
2024-08-03,19.314585,31.05,12.85,0.0,5.1955686,69.06475,0.11062499,0.15499999,13.815867
2024-08-04,16.5375,25.7,10.9,0.0,4.471693,77.455505,0.115,0.15499999,13.787422
2024-08-05,16.358334,26.35,9.95,0.0,4.2550464,76.51382,0.115,0.15499999,13.758519
2024-08-06,21.016666,31.8,11.85,0.0,5.6549497,60.658726,0.115,0.15499999,13.729188
2024-08-07,20.972916,29.55,12.6,0.0,5.343437,63.637512,0.115,0.15462501,13.699458
2024-08-08,17.80625,25.25,12.1,0.0,4.708894,71.27198,0.115,0.15400003,13.669362
2024-08-09,16.641668,25.75,10.45,0.0,4.6405754,73.473595,0.115,0.15400003,13.6389265
2024-08-10,17.931252,27.0,10.15,0.0,4.9883184,67.36782,0.115,0.15400003,13.60818
2024-08-11,18.795835,29.1,11.9,0.0,4.985619,64.40598,0.115,0.15400003,13.577151
2024-08-12,16.687502,24.95,11.4,0.0,4.5832624,75.5327,0.115,0.15400003,13.545868
2024-08-13,17.052084,26.3,10.4,0.0,5.0580115,69.30045,0.115,0.15400003,13.514357
2024-08-14,17.254168,24.85,12.1,0.0,4.6986637,69.18577,0.11300003,0.15349996,13.482643
2024-08-15,18.716665,28.4,12.9,0.0,5.226867,64.77757,0.115,0.15299995,13.450754
2024-08-16,18.550001,28.85,12.1,0.0,5.265625,67.46812,0.115,0.15299995,13.418716
2024-08-17,17.639585,24.5,12.0,0.0,4.49013,79.24279,0.115,0.15299995,13.386552
2024-08-18,17.914585,24.45,11.65,0.0,4.5149264,78.16583,0.11529166,0.15299995,13.354288
2024-08-19,16.55,24.95,9.95,0.0,4.6906443,70.58728,0.11625001,0.15299995,13.321946
