date,temp_mean,temp_max,temp_min,precip,et0,humidity_mean,soil_moisture_0_7,soil_moisture_7_28,daylight_hours
2024-04-30,12.603416,18.568,8.018001,0.0,4.237959,76.332985,0.24679168,0.27558336,13.690878
2024-05-01,13.601333,22.118,6.518,0.0,4.7840967,68.618126,0.23987503,0.27366662,13.724211
2024-05-02,14.726333,20.818,10.068001,0.0,4.3951116,67.76764,0.23308335,0.2712917,13.75722
2024-05-03,13.842999,18.768,10.168,0.0,3.9145803,81.91558,0.22754167,0.267125,13.789872
2024-05-04,11.518001,15.118,6.968,15.4,1.0478878,88.93408,0.293125,0.26516667,13.822135
2024-05-05,9.895083,14.518001,6.468,0.8,3.2449267,77.69636,0.3454583,0.2791667,13.853977
2024-05-06,10.830499,17.068,4.168,0.0,4.090942,79.595245,0.31362498,0.28345838,13.885366
2024-05-07,12.984666,18.418001,9.468,0.0,4.0588236,80.23647,0.2928333,0.2815,13.916268
2024-05-08,15.892999,23.468,8.018001,0.0,5.0764475,65.891945,0.2825,0.28149998,13.9466505
2024-05-09,16.98675,26.318,9.568001,0.0,5.448664,57.59633,0.26329172,0.2759166,13.976479
2024-05-10,17.657585,25.518,12.018001,0.0,5.1774282,57.944427,0.24954168,0.27233332,14.005716
2024-05-11,18.020082,25.918001,12.118,0.0,5.14325,61.603912,0.24350004,0.27054167,14.0343275
2024-05-12,14.936749,20.868,11.518001,0.0,4.1828194,83.24139,0.2423333,0.2692917,14.062387
2024-05-13,13.255501,17.418001,9.968,0.0,3.8810816,86.01185,0.23791663,0.26620835,14.090093
2024-05-14,12.917999,18.768,9.418,0.0,3.8676388,85.73157,0.23212497,0.25999993,14.117425
2024-05-15,13.21175,18.068,9.918,0.0,3.7150576,85.49976,0.22900002,0.25758338,14.144362
2024-05-16,14.226335,19.618,10.868,0.1,3.9378624,85.68131,0.22133332,0.25299996,14.170873
2024-05-17,13.468001,18.268,10.618,0.1,3.4603112,85.07824,0.21825002,0.24941672,14.196934
2024-05-18,13.607582,18.218,10.768001,0.0,3.5368383,82.64538,0.2134583,0.24583328,14.222515
2024-05-19,12.632584,17.068,8.668,0.0,3.92471,81.24284,0.20679168,0.24162494,14.247592
2024-05-20,12.972165,19.218,8.568001,0.1,4.132907,79.02883,0.19991666,0.23566659,14.272135
2024-05-21,14.455501,21.918001,6.718,0.0,4.8027067,74.1288,0.19408332,0.23166667,14.296116
2024-05-22,13.284667,17.218,9.368,0.0,3.6072621,79.07952,0.19379169,0.2292084,14.319507
2024-05-23,13.447166,20.268,7.968,0.0,4.6232486,72.24221,0.19450001,0.22662498,14.342278
2024-05-24,12.303418,15.368,9.118,0.8000001,3.0512393,78.22767,0.18933332,0.22483331,14.364399
2024-05-25,12.765918,16.768,8.718,1.8000002,2.672386,81.560356,0.203375,0.22462495,14.385842
2024-05-26,12.297168,17.768,6.718,0.0,4.2768116,80.20535,0.213875,0.22375004,14.406576
2024-05-27,12.438834,17.268,9.718,0.0,3.6802754,83.78219,0.20462501,0.22216673,14.426572
2024-05-28,13.268001,17.818,10.068001,0.0,4.0889587,81.71454,0.20324999,0.22012497,14.445801
2024-05-29,15.493,22.618,8.518001,0.0,5.103342,69.286674,0.20079167,0.21858333,14.464229
2024-05-30,17.026333,23.318,9.868,0.0,5.1185107,65.77027,0.19725001,0.21562505,14.481829
2024-05-31,16.459665,22.618,10.968,0.0,4.8827133,70.600716,0.19349997,0.21312498,14.498568
2024-06-01,13.549249,17.668001,10.168,0.1,4.1279635,79.0171,0.19200002,0.21141665,14.514484
2024-06-02,14.386749,18.468,11.518001,0.9000001,3.3887734,87.24029,0.19779168,0.210625,14.529703
2024-06-03,16.176332,20.418001,12.818001,0.0,3.481599,85.88122,0.19412501,0.20962505,14.544211
2024-06-04,19.899248,27.068,11.518001,0.0,5.5983224,68.0156,0.18754165,0.20841664,14.557999
2024-06-05,21.763834,28.768,14.718,0.0,5.632126,61.377575,0.17695837,0.20612498,14.571051
2024-06-06,16.651333,21.468,12.268001,0.0,4.8452225,75.00027,0.16816664,0.20420836,14.583354
2024-06-07,14.811749,20.318,9.768001,0.0,4.5978985,80.42016,0.16462499,0.20208335,14.594895
2024-06-08,14.678417,20.118,10.568001,0.0,4.3735366,79.64173,0.16095833,0.20029165,14.605663
2024-06-09,14.692998,20.068,9.618,0.0,4.314757,73.36744,0.15479165,0.19941665,14.6156435
2024-06-10,14.859668,20.018,11.118,0.5,4.155423,82.07012,0.15424998,0.19762498,14.6248255
2024-06-11,18.653416,27.068,11.768001,0.0,5.2725964,72.835976,0.1589583,0.19625004,14.633193
2024-06-12,14.957584,19.218,11.468,0.0,3.9879699,81.02368,0.16458337,0.19462502,14.6407385
2024-06-13,14.036748,18.318,10.968,0.0,3.72504,83.91154,0.16220836,0.19362499,14.647449
2024-06-14,15.243001,22.168001,9.118,0.0,5.1362977,70.91502,0.1615,0.19287498,14.653312
2024-06-15,15.328418,22.918001,9.518001,0.0,5.2184353,67.72297,0.15574999,0.19116668,14.658316
2024-06-16,15.734668,21.968,9.768001,0.0,5.229214,62.6627,0.15674996,0.18991667,14.662453
2024-06-17,16.493,23.968,10.118,0.0,5.47869,60.14418,0.152625,0.18812497,14.665709
2024-06-18,17.068,25.118,11.618,0.0,5.125461,52.25223,0.15100004,0.18654169,14.668076
2024-06-19,14.19925,19.818,10.118,0.0,4.58015,75.97674,0.15270832,0.185625,14.669543
2024-06-20,13.176333,18.018,10.168,0.0,3.9627616,83.98563,0.15899998,0.18462498,14.670103
2024-06-21,14.151333,18.768,10.318001,0.0,4.153468,83.31684,0.15666667,0.18366669,14.669743
2024-06-22,18.022167,24.868,11.468,0.0,5.327796,70.03104,0.15441662,0.18258333,14.668459
2024-06-23,17.597168,24.668001,11.768001,0.0,5.0849977,67.910255,0.15224998,0.18124999,14.666265
2024-06-24,18.2555,25.018,11.668,0.0,5.015795,65.455215,0.16029166,0.18045835,14.663168
2024-06-25,18.263834,25.518,12.568001,0.0,5.289727,64.100975,0.17054166,0.17916666,14.659183
2024-06-26,16.540916,23.268,12.468,0.0,4.6868925,72.18144,0.16637503,0.17845833,14.654322
2024-06-27,15.157584,19.968,11.168,0.0,4.722753,74.94828,0.16587497,0.177625,14.648596
2024-06-28,15.318001,21.268,10.468,0.0,4.782137,77.25467,0.16375,0.17666672,14.64202
2024-06-29,16.680502,23.218,10.318001,0.0,4.9209876,74.086464,0.15845834,0.17600004,14.634606
2024-06-30,18.226332,26.768,12.218,0.0,5.3434553,70.13558,0.15216668,0.17487498,14.6263685
2024-07-01,17.947166,24.918001,11.568001,0.0,5.224333,73.011345,0.14983332,0.17370836,14.617321
2024-07-02,22.22425,29.868,14.118,0.0,5.803231,58.946056,0.14687504,0.17266667,14.607478
2024-07-03,23.003418,28.568,16.868,0.0,5.8683963,52.1691,0.13258334,0.17158334,14.596853
2024-07-04,21.659662,30.468,14.618,0.0,5.74236,60.747463,0.13325,0.17062503,14.585463
2024-07-05,22.563833,30.918001,15.618,0.0,5.982334,57.098312,0.13299997,0.1695833,14.573319
2024-07-06,21.297167,29.668001,14.168,0.0,5.6166773,63.4227,0.1272917,0.16854167,14.560438
2024-07-07,19.27633,25.968,14.418,0.0,5.17473,72.56028,0.13400005,0.16758335,14.546834
2024-07-08,18.0555,23.418001,13.668,0.0,4.893776,73.0266,0.13470833,0.16670834,14.532525
2024-07-09,17.99092,26.518,13.268001,0.0,5.0411234,74.87044,0.135,0.16599995,14.517523
2024-07-10,18.590918,26.718,12.968,0.0,4.9063826,76.24681,0.13591665,0.16554165,14.501844
2024-07-11,21.734667,30.418001,15.568001,0.0,5.591109,63.586918,0.13599999,0.16466667,14.485433
2024-07-12,19.943,25.518,15.568001,0.0,5.108455,65.64451,0.13675,0.16400002,14.468162
2024-07-13,17.038834,23.518,13.418,0.0,4.050557,77.58069,0.14220838,0.16358338,14.45006
2024-07-14,16.434666,21.718,13.318001,0.0,4.1401834,84.31376,0.14316672,0.16300005,14.431154
2024-07-15,16.265917,21.868,12.868,0.0,4.0503387,79.19489,0.14254166,0.16300005,14.41148
2024-07-16,15.882584,21.818,12.418,0.0,4.1804557,79.3013,0.14066663,0.16270833,14.391066
2024-07-17,18.08675,24.618,13.018001,0.0,5.0475526,74.711296,0.141625,0.16237496,14.369942
2024-07-18,18.995085,25.668001,13.668,0.0,5.047381,72.233086,0.14145833,0.16199996,14.34814
